"Id_Votacao";"Senador";"Voto";"Partido";"UF";"ID"
"2020001";"ACIR GURGACZ";"S";"PDT";"RO";2473
"2020001";"ALESSANDRO VIEIRA";"S";"CIDADANIA";"SE";5484
"2020001";"ALVARO DIAS";"S";"PODEMOS";"PR";2318
"2020001";"ANGELO CORONEL";"S";"PSD";"BA";5464
"2020001";"ANTONIO ANASTASIA";"A";"PSD";"MG";5127
"2020001";"AROLDE DE OLIVEIRA";"S";"PSD";"RJ";2633
"2020001";"CARLOS VIANA";"S";"PSD";"MG";5473
"2020001";"CHICO RODRIGUES";"S";"DEM";"RR";2753
"2020001";"CIRO NOGUEIRA";"S";"PP";"PI";2681
"2020001";"CONFÚCIO MOURA";"S";"MDB";"RO";2685
"2020001";"DANIELLA RIBEIRO";"S";"PP";"PB";5477
"2020001";"DÁRIO BERGER";"S";"MDB";"SC";5128
"2020001";"DAVI ALCOLUMBRE";"A";"DEM";"AP";4151
"2020001";"EDUARDO BRAGA";"S";"MDB";"AM";3372
"2020001";"EDUARDO GIRÃO";"S";"PODEMOS";"CE";5466
"2020001";"EDUARDO GOMES";"S";"MDB";"TO";4163
"2020001";"ELIZIANE GAMA";"S";"CIDADANIA";"MA";5020
"2020001";"ELMANO FÉRRER";"S";"PODEMOS";"PI";5131
"2020001";"ESPERIDIÃO AMIN";"S";"PP";"SC";2356
"2020001";"FABIANO CONTARATO";"S";"REDE";"ES";5468
"2020001";"FERNANDO BEZERRA COELHO";"S";"MDB";"PE";3409
"2020001";"FERNANDO COLLOR";"S";"PROS";"AL";2490
"2020001";"FLÁVIO ARNS";"S";"REDE";"PR";2747
"2020001";"FLÁVIO BOLSONARO";"S";"S/PART";"RJ";5480
"2020001";"HUMBERTO COSTA";"S";"PT";"PE";2780
"2020001";"IRAJÁ";"S";"PSD";"TO";4831
"2020001";"IZALCI LUCAS";"S";"PSDB";"DF";4558
"2020001";"JADER BARBALHO";"S";"MDB";"PA";4194
"2020001";"JAQUES WAGNER";"S";"PT";"BA";2801
"2020001";"JARBAS VASCONCELOS";"S";"MDB";"PE";2532
"2020001";"JAYME CAMPOS";"S";"DEM";"MT";2359
"2020001";"JEAN PAUL PRATES";"S";"PT";"RN";5482
"2020001";"JORGE KAJURU";"S";"CIDADANIA";"GO";5470
"2020001";"JORGINHO MELLO";"S";"PL";"SC";4822
"2020001";"JOSÉ MARANHÃO";"S";"MDB";"PB";3559
"2020001";"JOSÉ SERRA";"S";"PSDB";"SP";3566
"2020001";"JUÍZA SELMA";"A";"PODEMOS";"MT";5476
"2020001";"LASIER MARTINS";"S";"PODEMOS";"RS";5134
"2020001";"LEILA BARROS";"S";"PSB";"DF";5467
"2020001";"LUIS CARLOS HEINZE";"S";"PP";"RS";3974
"2020001";"LUIZ DO CARMO";"S";"MDB";"GO";5472
"2020001";"LUIZ PASTORE";"S";"MDB";"ES";2542
"2020001";"MAILZA GOMES";"S";"PP";"AC";5462
"2020001";"MAJOR OLIMPIO";"S";"PSL";"SP";4923
"2020001";"MARA GABRILLI";"S";"PSDB";"SP";4786
"2020001";"MARCELO CASTRO";"S";"MDB";"PI";3979
"2020001";"MARCIO BITTAR";"S";"MDB";"AC";3980
"2020001";"MARCOS DO VAL";"S";"PODEMOS";"ES";5469
"2020001";"MARCOS ROGÉRIO";"S";"DEM";"RO";4869
"2020001";"MARIA DO CARMO ALVES";"S";"DEM";"SE";2557
"2020001";"MECIAS DE JESUS";"S";"REPUBLICANOS";"RR";5483
"2020001";"NELSINHO TRAD";"A";"PSD";"MS";5474
"2020001";"OMAR AZIZ";"S";"PSD";"AM";5135
"2020001";"ORIOVISTO GUIMARÃES";"S";"PODEMOS";"PR";5479
"2020001";"OTTO ALENCAR";"S";"PSD";"BA";5136
"2020001";"PAULO ALBUQUERQUE";"S";"PSD";"AP";5504
"2020001";"PAULO PAIM";"S";"PT";"RS";2979
"2020001";"PAULO ROCHA";"S";"PT";"PA";2981
"2020001";"PLÍNIO VALÉRIO";"S";"PSDB";"AM";4906
"2020001";"PRISCO BEZERRA";"S";"PDT";"CE";5503
"2020001";"RANDOLFE RODRIGUES";"S";"REDE";"AP";4637
"2020001";"REGUFFE";"S";"PODEMOS";"DF";4725
"2020001";"RENAN CALHEIROS";"S";"MDB";"AL";3751
"2020001";"ROBERTO ROCHA";"S";"PSDB";"MA";3019
"2020001";"RODRIGO CUNHA";"S";"PSDB";"AL";5461
"2020001";"RODRIGO PACHECO";"S";"DEM";"MG";5083
"2020001";"ROGÉRIO CARVALHO";"S";"PT";"SE";4828
"2020001";"ROMÁRIO";"S";"PODEMOS";"RJ";4717
"2020001";"SÉRGIO PETECÃO";"A";"PSD";"AC";4537
"2020001";"SIMONE TEBET";"S";"MDB";"MS";5141
"2020001";"SORAYA THRONICKE";"S";"PSL";"MS";5475
"2020001";"STYVENSON VALENTIM";"S";"PODEMOS";"RN";5481
"2020001";"TASSO JEREISSATI";"S";"PSDB";"CE";2454
"2020001";"TELMÁRIO MOTA";"S";"PROS";"RR";5142
"2020001";"VANDERLAN CARDOSO";"A";"PSD";"GO";5471
"2020001";"VENEZIANO VITAL DO RÊGO";"S";"PSB";"PB";5079
"2020001";"WELLINGTON FAGUNDES";"S";"PL";"MT";3088
"2020001";"WEVERTON";"S";"PDT";"MA";4867
"2020001";"ZENAIDE MAIA";"S";"PROS";"RN";5048
"2020001";"ZEQUINHA MARINHO";"S";"PSC";"PA";4302
"2020002";"ACIR GURGACZ";"S";"PDT";"RO";2473
"2020002";"ALESSANDRO VIEIRA";"S";"CIDADANIA";"SE";5484
"2020002";"ALVARO DIAS";"S";"PODEMOS";"PR";2318
"2020002";"ANGELO CORONEL";"S";"PSD";"BA";5464
"2020002";"ANTONIO ANASTASIA";"A";"PSD";"MG";5127
"2020002";"AROLDE DE OLIVEIRA";"S";"PSD";"RJ";2633
"2020002";"CARLOS VIANA";"S";"PSD";"MG";5473
"2020002";"CHICO RODRIGUES";"S";"DEM";"RR";2753
"2020002";"CIRO NOGUEIRA";"S";"PP";"PI";2681
